Date,Open,High,Low,Close,Volume
2019-11-11 00:00:00-05:00,137.6100006,137.7899933,136.4400024,137.0599976,7037300
2019-11-12 00:00:00-05:00,137.0299988,137.5899963,136.1900024,137.4299927,6448600
2019-11-13 00:00:00-05:00,137.8000031,138.2200012,137.6399994,137.9799957,8776000
2019-11-14 00:00:00-05:00,138.3899994,138.9400024,137.8699951,138.5599976,5220500
2019-11-15 00:00:00-05:00,138.0299988,138.4199982,137.9700012,138.2100067,10106700
2019-11-18 00:00:00-05:00,138.4400024,138.8500061,138.3000031,138.6199951,5717900
2019-11-19 00:00:00-05:00,138.1300049,138.9700012,138.1300049,138.6900024,4824400
2019-11-20 00:00:00-05:00,138.5299988,139,138.1000061,138.7599945,6892100
2019-11-21 00:00:00-05:00,138.3899994,138.5599976,137.7700043,138,4197200
2019-11-22 00:00:00-05:00,138.3699951,138.4600067,137.6600037,137.7400055,3620300
2019-11-25 00:00:00-05:00,137.3200073,137.6199951,136.9900055,137.0800018,6415800
2019-11-26 00:00:00-05:00,136.9799957,137.8000031,136.5800018,137.7400055,4724400
2019-11-27 00:00:00-05:00,137.0299988,137.2100067,136.8300018,137.0099945,4111000
2019-11-29 00:00:00-05:00,137.1000061,138.1300049,137.0800018,137.8600006,4516400
2019-12-02 00:00:00-05:00,137.3200073,138.0899963,137.3000031,137.7899933,8274700
2019-12-03 00:00:00-05:00,139.0399933,139.5700073,138.9700012,139.1100006,8481700
2019-12-04 00:00:00-05:00,139.1600037,139.1699982,138.5899963,138.9199982,6322300
2019-12-05 00:00:00-05:00,138.8000031,139.4499969,138.7899933,139,5671500
2019-12-06 00:00:00-05:00,137.7599945,137.8300018,137.3999939,137.6199951,8714500
2019-12-09 00:00:00-05:00,137.8000031,137.8099976,137.4499969,137.5800018,2711600
2019-12-10 00:00:00-05:00,138.25,138.3300018,137.7400055,137.9700012,3240800
2019-12-11 00:00:00-05:00,138.1999969,139.3000031,138.1199951,138.9199982,6097500
2019-12-12 00:00:00-05:00,139.7799988,139.8500061,137.8800049,138.4299927,8815100
2019-12-13 00:00:00-05:00,138.5200043,139.2100067,137.9799957,139.0500031,6964300
2019-12-16 00:00:00-05:00,139.1999969,139.3899994,138.8000031,139.0399933,4646100
2019-12-17 00:00:00-05:00,139.0200043,139.3000031,138.8500061,139.0099945,4287500
2019-12-18 00:00:00-05:00,138.8600006,139.25,138.8099976,139.0200043,3607600
2019-12-19 00:00:00-05:00,139.0399933,139.5500031,138.8699951,139.3800049,4975000
2019-12-20 00:00:00-05:00,139.3699951,139.5200043,138.9799957,139.5200043,4463900
2019-12-23 00:00:00-05:00,139.5299988,139.9600067,139.5299988,139.9499969,5180900
2019-12-24 00:00:00-05:00,140.4400024,141.3300018,140.4299927,141.2700043,5303700
2019-12-26 00:00:00-05:00,142.0599976,142.4700012,141.9100037,142.3800049,8342500
2019-12-27 00:00:00-05:00,142.2599945,142.7299957,142.1699982,142.3300018,5119900
2019-12-30 00:00:00-05:00,142.5599976,142.8000031,142.4600067,142.6300049,4810600
2019-12-31 00:00:00-05:00,143.3099976,143.6000061,142.8000031,142.8999939,5313500
2020-01-02 00:00:00-05:00,143.8600006,144.2100067,143.3999939,143.9499969,7733800
2020-01-03 00:00:00-05:00,145.75,146.3200073,145.3999939,145.8600006,12272800
2020-01-06 00:00:00-05:00,148.4400024,148.4799957,146.9499969,147.3899994,14403300
2020-01-07 00:00:00-05:00,147.5700073,148.1399994,147.4299927,147.9700012,7978500
2020-01-08 00:00:00-05:00,148.4900055,148.6100006,146.1399994,146.8600006,22248500
2020-01-09 00:00:00-05:00,146.0700073,146.4100037,145.4400024,146.0299988,10292300
2020-01-10 00:00:00-05:00,146.2200012,146.9900055,146.1699982,146.9100037,6183300
2020-01-13 00:00:00-05:00,146.3500061,146.3800049,145.7799988,145.8200073,7593800
2020-01-14 00:00:00-05:00,145.4199982,145.8099976,145.0800018,145.6900024,6589700
2020-01-15 00:00:00-05:00,146.2100067,146.7299957,145.8200073,146.5399933,6510000
2020-01-16 00:00:00-05:00,146.2700043,146.4700012,145.7599945,146.3099976,6069100
2020-01-17 00:00:00-05:00,146.5099945,146.9900055,146.3099976,146.5800018,11121100
2020-01-21 00:00:00-05:00,145.7700043,146.8600006,145.5500031,146.7400055,6086100
2020-01-22 00:00:00-05:00,146.6799927,146.8099976,146.3800049,146.7899933,4778200
2020-01-23 00:00:00-05:00,147,147.6199951,146.6199951,147.1199951,8419800
2020-01-24 00:00:00-05:00,146.8999939,148.3800049,146.8899994,147.9799957,9919900
2020-01-27 00:00:00-05:00,149.2400055,149.3200073,148.4600067,148.9900055,9988100
2020-01-28 00:00:00-05:00,148.3600006,148.5599976,147.5299988,147.6600037,7543100
2020-01-29 00:00:00-05:00,147.6999969,148.5599976,147.6100006,148.4600067,5013100
2020-01-30 00:00:00-05:00,148.6900024,149.3099976,148.0099945,148.4700012,9119500
2020-01-31 00:00:00-05:00,148.8800049,149.6799927,148.8099976,149.3300018,14788300
2020-02-03 00:00:00-05:00,148.6600037,148.7799988,147.6799927,148.3600006,9105300
2020-02-04 00:00:00-05:00,146.9700012,147.0299988,145.8000031,146.4299927,10525600
2020-02-05 00:00:00-05:00,146.3800049,146.8099976,146.1600037,146.6100006,6160700
2020-02-06 00:00:00-05:00,147.2799988,147.6300049,147,147.3999939,4819800
2020-02-07 00:00:00-05:00,147.8300018,148.1799927,147.3399963,147.7899933,6379300
2020-02-10 00:00:00-05:00,148.2100067,148.4499969,147.9100037,148.1699982,5793600
2020-02-11 00:00:00-05:00,148.0299988,148.1600037,147.0099945,147.6600037,5179400
2020-02-12 00:00:00-05:00,147.4199982,147.8099976,147.1600037,147.5399933,5040600
2020-02-13 00:00:00-05:00,148.2400055,148.5800018,147.9499969,148.3800049,7082100
2020-02-14 00:00:00-05:00,148.7400055,149.1300049,148.6300049,149,5345400
2020-02-18 00:00:00-05:00,149.8800049,151.0899963,149.4700012,150.9100037,11524900
2020-02-19 00:00:00-05:00,151,151.8200073,150.8200073,151.7899933,9269800
2020-02-20 00:00:00-05:00,152,152.8300018,151.9499969,152.4100037,8457300
2020-02-21 00:00:00-05:00,154.4299927,155.2200012,154.1799927,154.6999969,16344500
2020-02-24 00:00:00-05:00,158.5,158.5299988,155.3600006,156.0899963,27171000
2020-02-25 00:00:00-05:00,155.1199951,156.0800018,152.9100037,153.3000031,28091500
2020-02-26 00:00:00-05:00,153.8200073,155.2799988,152.8999939,153.9700012,17912500
2020-02-27 00:00:00-05:00,155.5800018,156.2700043,153.8999939,154,27878500
2020-02-28 00:00:00-05:00,152.7100067,152.7700043,147.0500031,148.3800049,42699600
2020-03-02 00:00:00-05:00,150,150.7299957,149.0399933,149.1999969,16295400
2020-03-03 00:00:00-05:00,150.8399963,155.2400055,150.7400055,153.8899994,28687700
2020-03-04 00:00:00-05:00,154.3999939,154.9600067,153.6999969,154.1600037,12315500
2020-03-05 00:00:00-05:00,156.0599976,157.6199951,155.7200012,157.4900055,17973500
2020-03-06 00:00:00-05:00,158.3300018,159.25,154.5399933,157.5500031,26973400
2020-03-09 00:00:00-04:00,158.6000061,159.3699951,156.3300018,157.8099976,24868700
2020-03-10 00:00:00-04:00,156.1799927,156.4100037,154.3899994,154.4799957,18811500
2020-03-11 00:00:00-04:00,156.25,156.5,153.6100006,153.9299927,18159900
2020-03-12 00:00:00-04:00,151.5299988,151.5500031,146.8500061,147.7899933,32893400
2020-03-13 00:00:00-04:00,149.4199982,149.6000061,141.5800018,143.2799988,35177200
2020-03-16 00:00:00-04:00,137.5599976,142.9600067,136.1199951,141.6399994,24496000
2020-03-17 00:00:00-04:00,140.1799927,146.1999969,139.9299927,143.5599976,24490300
2020-03-18 00:00:00-04:00,141.75,142.8800049,138.5,140.6999969,21953400
2020-03-19 00:00:00-04:00,139.0800018,140.5,137.8500061,138.0399933,20828900
2020-03-20 00:00:00-04:00,140.7100067,141.1699982,139.1399994,140.1100006,20056000
2020-03-23 00:00:00-04:00,142.6799927,146.9299927,142.2799988,146.3000031,28275200
2020-03-24 00:00:00-04:00,153.5,155.6600037,152.0500031,153.3999939,20743500
2020-03-25 00:00:00-04:00,152.5800018,152.8800049,151.0099945,151.3000031,16457200
2020-03-26 00:00:00-04:00,153.3099976,154.8099976,152.0800018,153.2400055,12778200
2020-03-27 00:00:00-04:00,153,153.5500031,152,152.25,9824600
2020-03-30 00:00:00-04:00,152.4100037,153.0800018,151.5700073,152.9199982,12080900
2020-03-31 00:00:00-04:00,151.3600006,151.8000031,147.9700012,148.0500031,13319500
2020-04-01 00:00:00-04:00,148.1999969,150.0800018,147.8500061,149.4499969,11827400
2020-04-02 00:00:00-04:00,151.1999969,152.5,150.6999969,151.8999939,9188300
2020-04-03 00:00:00-04:00,152.2299957,153.0899963,151.6600037,152.6499939,8469100
2020-04-06 00:00:00-04:00,154.1600037,157.2200012,153.9600067,156.8800049,14739300
2020-04-07 00:00:00-04:00,155.3300018,156.1399994,154.3800049,156.0399933,9195400
2020-04-08 00:00:00-04:00,155.9100037,155.9400024,154.5899963,154.6499939,7600800
2020-04-09 00:00:00-04:00,158.0800018,159.0800018,157.2100067,158.6900024,18123000
2020-04-13 00:00:00-04:00,159.1699982,162.3800049,158.6300049,161.4100037,20549200
2020-04-14 00:00:00-04:00,162.7299957,164.4199982,161.7799988,162.6799927,17095100
2020-04-15 00:00:00-04:00,161.8000031,162.5399933,160.8099976,161.8500061,12141900
2020-04-16 00:00:00-04:00,161.8800049,163.1499939,160.6499939,161.7100067,9233200
